,activity,end_time,exam_1_exercise_score,exam_2_exercise_score,exercise,idle_time,intermediate_grade,keystroke,mouse_click_left,mouse_click_right,mouse_movement,mouse_wheel,mouse_wheel_click,session_id,start_time,student_id
0,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=25, tm_sec=26, tm_wday=3, tm_yday=275, tm_isdst=-1)",,3.0,Es_1_2,0,n/a,0,0,0,269,2,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=25, tm_sec=22, tm_wday=3, tm_yday=275, tm_isdst=-1)",1
1,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=57, tm_sec=0, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,2148,5.0,32,7,0,423,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=56, tm_sec=51, tm_wday=3, tm_yday=289, tm_isdst=-1)",1
2,,,,,,,0.0,,,,,,,3,,1
3,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=43, tm_sec=43, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,0,4.5,0,4,0,194,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=43, tm_sec=42, tm_wday=3, tm_yday=317, tm_isdst=-1)",1
4,Deeds_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=6, tm_sec=51, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,234,4.0,0,0,0,258,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=6, tm_sec=48, tm_wday=3, tm_yday=324, tm_isdst=-1)",1
5,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=25, tm_sec=7, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,32,2.25,0,2,0,279,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=25, tm_sec=5, tm_wday=3, tm_yday=345, tm_isdst=-1)",1
6,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=53, tm_sec=43, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_4,1498,n/a,0,0,0,0,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=53, tm_sec=38, tm_wday=3, tm_yday=275, tm_isdst=-1)",2
7,TextEditor_Es_2_6,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=51, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,2064,4.0,0,10,0,218,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=41, tm_wday=3, tm_yday=289, tm_isdst=-1)",2
8,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=46, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,85834,3.5,0,0,0,163,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=32, tm_wday=3, tm_yday=296, tm_isdst=-1)",2
9,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=24, tm_sec=24, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,8212,4.5,0,4,0,544,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=24, tm_sec=15, tm_wday=3, tm_yday=317, tm_isdst=-1)",2
