,best_exam,ex_1_total,ex_2_total,intermediate_avg,student_id
0,94.5,-1.0,94.5,3.15,1
1,44.0,-1.0,44.0,3.4,2
2,85.0,85.0,-1.0,3.1,3
3,30.0,-1.0,30.0,4.25,4
4,38.5,-1.0,38.5,4.15,5
5,82.0,82.0,-1.0,3.9,6
6,78.0,52.5,78.0,3.7,7
7,8.5,-1.0,8.5,2.9,8
8,18.5,-1.0,18.5,2.6,9
9,59.0,59.0,-1.0,4.1,10
10,60.0,-1.0,60.0,3.3,11
11,40.5,-1.0,40.5,3.5,12
12,90.0,90.0,-1.0,2.4,13
13,64.0,-1.0,64.0,4.35,14
14,67.5,67.5,-1.0,3.4,15
15,67.0,67.0,-1.0,3.3,16
16,97.0,97.0,-1.0,4.0,17
17,62.0,62.0,-1.0,4.1,18
18,50.0,-1.0,50.0,3.2,19
19,97.5,58.5,97.5,3.2,20
20,-1.0,-1.0,-1.0,1.7,21
21,40.0,-1.0,40.0,2.5,22
22,-1.0,-1.0,-1.0,1.8,23
23,70.5,32.5,70.5,3.1,24
24,57.5,-1.0,57.5,2.45,25
25,-1.0,-1.0,-1.0,0.8,26
26,74.5,74.5,-1.0,2.65,27
27,79.5,79.5,-1.0,4.4,28
28,97.0,97.0,-1.0,3.95,29
29,55.5,7.0,55.5,3.25,30
30,-1.0,-1.0,-1.0,1.5,31
31,75.5,75.5,-1.0,4.4,32
32,30.5,-1.0,30.5,0.8,33
33,18.0,-1.0,18.0,3.45,34
34,-1.0,-1.0,-1.0,1.9,35
35,79.0,79.0,-1.0,4.25,36
36,30.0,19.0,30.0,2.2,37
37,41.5,-1.0,41.5,3.5,38
38,83.5,41.0,83.5,2.9,39
39,-1.0,-1.0,-1.0,1.1,40
40,98.0,98.0,-1.0,4.35,41
41,22.5,-1.0,22.5,3.0,42
42,-1.0,-1.0,-1.0,2.3,43
43,97.5,50.0,97.5,4.2,44
44,46.0,-1.0,46.0,1.6,45
45,22.0,12.0,22.0,2.3,46
46,28.0,-1.0,28.0,2.55,47
47,71.5,71.5,-1.0,3.4,48
48,30.5,-1.0,30.5,3.25,49
49,-1.0,-1.0,-1.0,2.6,50
50,9.0,8.5,9.0,2.1,51
51,36.0,-1.0,36.0,4.25,52
52,70.5,70.5,-1.0,3.6,53
53,39.0,-1.0,39.0,3.35,54
54,36.5,-1.0,36.5,3.3,55
55,84.0,71.5,84.0,3.2,56
56,23.0,-1.0,23.0,1.45,57
57,48.0,-1.0,48.0,0.9,58
58,40.0,40.0,29.5,3.0,59
59,16.5,-1.0,16.5,2.2,60
60,57.5,-1.0,57.5,2.1,61
61,43.0,22.0,43.0,0.8,62
62,69.0,69.0,-1.0,2.9,63
63,20.5,-1.0,20.5,1.8,64
64,-1.0,-1.0,-1.0,1.8,65
65,86.0,86.0,-1.0,2.35,66
66,92.0,80.5,92.0,4.15,67
67,91.0,62.5,91.0,4.2,68
68,23.5,-1.0,23.5,2.1,69
69,60.5,-1.0,60.5,4.35,70
70,90.5,-1.0,90.5,2.7,71
71,95.0,95.0,-1.0,3.55,72
72,49.0,28.5,49.0,2.7,73
73,18.0,18.0,-1.0,3.05,74
74,87.5,-1.0,87.5,3.0,75
75,93.5,93.5,-1.0,3.6,76
76,66.5,-1.0,66.5,0.8,77
77,78.0,78.0,-1.0,3.45,78
78,84.5,-1.0,84.5,3.95,79
79,51.5,-1.0,51.5,3.2,80
80,87.0,87.0,-1.0,4.15,81
81,13.5,-1.0,13.5,2.8,82
82,52.0,35.5,52.0,3.4,83
83,-1.0,-1.0,-1.0,1.4,84
84,82.0,82.0,-1.0,4.6,85
85,94.0,94.0,-1.0,4.25,86
86,74.5,46.0,74.5,3.55,87
87,96.0,96.0,-1.0,3.95,88
88,16.5,16.5,-1.0,1.7,89
89,-1.0,-1.0,-1.0,3.4,90
90,66.5,-1.0,66.5,4.25,91
91,35.0,19.5,35.0,2.9,92
92,66.0,66.0,-1.0,3.6,93
93,92.5,-1.0,92.5,4.25,94
94,52.5,-1.0,52.5,3.75,95
95,77.5,77.5,-1.0,3.15,96
96,-1.0,-1.0,-1.0,2.4,97
97,66.5,66.5,-1.0,3.9,98
98,17.0,9.5,17.0,2.7,99
99,83.0,83.0,-1.0,2.5,100
100,32.0,18.5,32.0,1.9,101
101,31.5,-1.0,31.5,3.6,102
102,18.5,-1.0,18.5,1.1,103
103,92.0,-1.0,92.0,3.45,104
104,-1.0,-1.0,-1.0,0.1,105
105,71.0,45.5,71.0,0.7,106
106,-1.0,-1.0,-1.0,0.2,107
107,-1.0,-1.0,-1.0,0.0,108
108,-1.0,-1.0,-1.0,0.0,109
109,-1.0,-1.0,-1.0,0.0,110
110,-1.0,-1.0,-1.0,1.2,111
111,-1.0,-1.0,-1.0,0.0,112
112,-1.0,-1.0,-1.0,0.0,113
113,-1.0,-1.0,-1.0,0.0,114
114,-1.0,-1.0,-1.0,0.0,115
